bootstrap,auc_boot,auc_original,brier_boot,brier_original,calibration_intercept_boot,calibration_intercept_original,calibration_slope_boot,calibration_slope_original
91,0.9973175422613625,0.9592768227623,0.03740972548394936,0.058230413516881394,-0.1367012055217828,-0.0782586142180515,4.180161351206131,2.0827952086640207
92,0.99800796812749,0.9615293420272674,0.03054484461864645,0.05730869363527658,-0.8259769850219796,-0.32999165450939344,3.4996427251298714,1.8378294314628016
93,0.9982566248256625,0.9714878482513337,0.034984882515967694,0.05968637498475971,-0.07619330399045025,-0.11764077339806811,4.657741402619202,2.36565003908514
94,0.9964201877934272,0.9582691167753409,0.03447599678703696,0.06125747911365767,-0.5765813556963875,-0.37890095722424816,3.107345648684489,1.758824316650459
95,0.9974644403215832,0.977474807350326,0.03820796044156944,0.058178258753152835,0.586527835134741,0.2947706539413925,5.404097567088075,2.778081759473064
96,0.9963615023474178,0.9649673977474807,0.035227098773754795,0.057120095677223155,-0.484317169235264,-0.14532346510986394,3.1496539907043903,1.869115291268194
97,0.996415770609319,0.9498518079430942,0.02770583676427477,0.06266652589916932,-0.6639192398879803,-0.16719906106295623,2.730742547140961,1.5957522077704243
98,0.9966144966144966,0.9760521636040308,0.038705146711791295,0.05802768511889178,0.6646813242289318,0.02667078305034414,4.031210999711626,2.460710287291547
99,0.9966173154230807,0.9721991701244813,0.03946697332906915,0.05953095263849269,-0.30830641028016126,-0.38480120473893137,3.3684034942219636,2.3740825721990926
100,0.9958248987854251,0.9671013633669236,0.03823127035308587,0.05821167844652788,-0.2167068438570283,0.05680683273071709,3.1696354934821382,2.258664224694969
101,0.9963007801990853,0.9503852993479549,0.03222485617959151,0.056569197742780276,-0.5727080830721183,0.17844479300273258,3.031311260780624,1.9297439883123
102,0.996969696969697,0.9721991701244813,0.04108883017628094,0.054921764187223374,0.30887822145985366,-0.014171089211194143,4.017800038623178,2.4448443912900317
103,0.9981792717086834,0.9615293420272674,0.030037720508400242,0.05750626779444583,-0.16396609413646698,0.050589288409235045,4.263049457908318,1.942268632490902
104,0.9979423868312756,0.9744516893894488,0.037683292036514764,0.057526978314472205,0.6814830635488498,0.12472773077870047,6.197723677486683,2.5667839760513806
105,0.9980425740151699,0.9652637818612922,0.02962616198759793,0.05762884644503446,-0.6659837688448097,-0.2815732539627592,3.4435966763605625,1.8140175924667576
106,0.9983998975934459,0.9642560758743332,0.03229866531580502,0.058143362581098416,-0.0238836158180383,-0.17229574207091275,5.181897335051221,2.0275545772608368
107,0.9951144094001236,0.9780082987551868,0.05250992136464681,0.0628831449476992,-0.12064036370353336,-0.18651625209725584,4.239198864970536,3.08961946656037
108,0.9948166739415102,0.979845880260818,0.03939812143901728,0.05652327742861181,-0.10803003735847698,-0.16243877858222058,3.153595218257637,2.2526513276668
109,0.9960039960039959,0.978838174273859,0.037631102431291585,0.05986688647247977,0.6461541040045359,-0.17357050936063004,3.249687171089841,2.1527746502908616
